,id,name,n_filters,n_models
aug_cluster_1,"motifs_aug_model_9_filter_110_n224,motifs_aug_model_9_filter_008_n211,motifs_aug_model_5_filter_104_n139,motifs_aug_model_7_filter_127_n187,motifs_aug_model_4_filter_047_n100,motifs_aug_model_6_filter_013_n146,motifs_aug_model_4_filter_041_n98,motifs_aug_model_4_filter_095_n111,motifs_aug_model_0_filter_064_n14,motifs_aug_model_2_filter_113_n66,motifs_aug_model_2_filter_000_n46,motifs_aug_model_0_filter_090_n19,motifs_aug_model_5_filter_022_n121,motifs_aug_model_1_filter_045_n32,motifs_aug_model_0_filter_012_n5,motifs_aug_model_9_filter_047_n218,motifs_aug_model_9_filter_090_n221,motifs_aug_model_0_filter_039_n10,motifs_aug_model_8_filter_008_n189,motifs_aug_model_4_filter_021_n96,motifs_aug_model_4_filter_081_n107,motifs_aug_model_0_filter_073_n15,motifs_aug_model_3_filter_029_n75,motifs_aug_model_7_filter_087_n176,motifs_aug_model_3_filter_123_n94,motifs_aug_model_2_filter_096_n59,motifs_aug_model_8_filter_112_n206,motifs_aug_model_6_filter_092_n155,motifs_aug_model_7_filter_091_n177,motifs_aug_model_4_filter_107_n114,motifs_aug_model_0_filter_007_n2,motifs_aug_model_0_filter_044_n11,motifs_aug_model_1_filter_126_n45,motifs_aug_model_6_filter_035_n148,motifs_aug_model_8_filter_070_n200,motifs_aug_model_5_filter_026_n123,motifs_aug_model_6_filter_073_n152,motifs_aug_model_3_filter_037_n77,motifs_aug_model_1_filter_089_n37,motifs_aug_model_2_filter_042_n50,motifs_aug_model_7_filter_055_n171,motifs_aug_model_5_filter_015_n118,motifs_aug_model_6_filter_009_n144,motifs_aug_model_2_filter_025_n49,motifs_aug_model_3_filter_079_n85,motifs_aug_model_6_filter_119_n159,motifs_aug_model_5_filter_045_n127,motifs_aug_model_4_filter_010_n95,motifs_aug_model_4_filter_127_n115,motifs_aug_model_8_filter_069_n199,motifs_aug_model_5_filter_110_n140,motifs_aug_model_5_filter_054_n131,motifs_aug_model_8_filter_006_n188,motifs_aug_model_4_filter_070_n104,motifs_aug_model_8_filter_039_n195,motifs_aug_model_7_filter_092_n178,motifs_aug_model_0_filter_123_n26,motifs_aug_model_7_filter_054_n170,motifs_aug_model_0_filter_006_n1,motifs_aug_model_9_filter_112_n226,motifs_aug_model_3_filter_033_n76,motifs_aug_model_8_filter_115_n208,motifs_aug_model_3_filter_094_n90,motifs_aug_model_5_filter_118_n143,motifs_aug_model_0_filter_033_n9,motifs_aug_model_1_filter_086_n36,motifs_aug_model_6_filter_012_n145,motifs_aug_model_2_filter_104_n61,motifs_aug_model_9_filter_111_n225,motifs_aug_model_6_filter_118_n158,motifs_aug_model_8_filter_016_n190,motifs_aug_model_0_filter_077_n17,motifs_aug_model_5_filter_021_n120,motifs_aug_model_7_filter_093_n179,motifs_aug_model_2_filter_109_n64,motifs_aug_model_9_filter_083_n220,motifs_aug_model_1_filter_036_n31,motifs_aug_model_1_filter_104_n41,motifs_aug_model_8_filter_021_n191,motifs_aug_model_1_filter_097_n39,motifs_aug_model_2_filter_006_n47,motifs_aug_model_5_filter_089_n135,motifs_aug_model_2_filter_100_n60,motifs_aug_model_5_filter_065_n132,motifs_aug_model_4_filter_079_n106,motifs_aug_model_0_filter_015_n6,motifs_aug_model_2_filter_076_n56,motifs_aug_model_3_filter_012_n70,motifs_aug_model_5_filter_010_n117,motifs_aug_model_0_filter_094_n20,motifs_aug_model_1_filter_004_n28,motifs_aug_model_2_filter_088_n58,motifs_aug_model_7_filter_051_n168,motifs_aug_model_5_filter_031_n124,motifs_aug_model_2_filter_049_n51,motifs_aug_model_8_filter_080_n202,motifs_aug_model_9_filter_016_n213,motifs_aug_model_0_filter_084_n18,motifs_aug_model_3_filter_051_n78,motifs_aug_model_8_filter_038_n194,motifs_aug_model_2_filter_062_n53,motifs_aug_model_8_filter_037_n193,motifs_aug_model_0_filter_099_n21,motifs_aug_model_2_filter_126_n69,motifs_aug_model_3_filter_092_n88,motifs_aug_model_6_filter_066_n150,motifs_aug_model_7_filter_106_n182,motifs_aug_model_8_filter_104_n204,motifs_aug_model_8_filter_073_n201,motifs_aug_model_5_filter_098_n137,motifs_aug_model_7_filter_021_n165,motifs_aug_model_7_filter_124_n186,motifs_aug_model_1_filter_010_n30,motifs_aug_model_5_filter_066_n133,motifs_aug_model_2_filter_108_n63,motifs_aug_model_5_filter_032_n125,motifs_aug_model_6_filter_053_n149,motifs_aug_model_6_filter_081_n154,motifs_aug_model_6_filter_018_n147,motifs_aug_model_0_filter_020_n7,motifs_aug_model_7_filter_095_n180,motifs_aug_model_0_filter_008_n3,motifs_aug_model_0_filter_050_n12,motifs_aug_model_3_filter_020_n72,motifs_aug_model_1_filter_099_n40,motifs_aug_model_4_filter_065_n103,motifs_aug_model_7_filter_003_n163,motifs_aug_model_9_filter_017_n214,motifs_aug_model_1_filter_106_n43,motifs_aug_model_8_filter_113_n207,motifs_aug_model_4_filter_071_n105,motifs_aug_model_7_filter_085_n175,motifs_aug_model_9_filter_032_n215,motifs_aug_model_4_filter_101_n112,motifs_aug_model_6_filter_070_n151,motifs_aug_model_3_filter_117_n92,motifs_aug_model_5_filter_097_n136,motifs_aug_model_8_filter_048_n196,motifs_aug_model_3_filter_061_n81,motifs_aug_model_7_filter_075_n172,motifs_aug_model_0_filter_112_n24,motifs_aug_model_5_filter_116_n142,motifs_aug_model_4_filter_062_n102,motifs_aug_model_9_filter_105_n223,motifs_aug_model_1_filter_105_n42,motifs_aug_model_3_filter_115_n91,motifs_aug_model_0_filter_010_n4,motifs_aug_model_0_filter_109_n23,motifs_aug_model_3_filter_015_n71,motifs_aug_model_6_filter_126_n161,motifs_aug_model_7_filter_083_n174,motifs_aug_model_2_filter_011_n48,motifs_aug_model_5_filter_040_n126,motifs_aug_model_7_filter_122_n185,motifs_aug_model_2_filter_084_n57,motifs_aug_model_6_filter_125_n160,motifs_aug_model_3_filter_075_n84,motifs_aug_model_3_filter_122_n93,motifs_aug_model_8_filter_062_n198,motifs_aug_model_7_filter_007_n164,motifs_aug_model_8_filter_100_n203,motifs_aug_model_7_filter_121_n184,motifs_aug_model_9_filter_036_n216,motifs_aug_model_3_filter_054_n79,motifs_aug_model_2_filter_068_n55,motifs_aug_model_7_filter_052_n169,motifs_aug_model_7_filter_000_n162,motifs_aug_model_2_filter_116_n67,motifs_aug_model_8_filter_036_n192","model_9_filter_110,model_9_filter_008,model_5_filter_104,model_7_filter_127,model_4_filter_047,model_6_filter_013,model_4_filter_041,model_4_filter_095,model_0_filter_064,model_2_filter_113,model_2_filter_000,model_0_filter_090,model_5_filter_022,model_1_filter_045,model_0_filter_012,model_9_filter_047,model_9_filter_090,model_0_filter_039,model_8_filter_008,model_4_filter_021,model_4_filter_081,model_0_filter_073,model_3_filter_029,model_7_filter_087,model_3_filter_123,model_2_filter_096,model_8_filter_112,model_6_filter_092,model_7_filter_091,model_4_filter_107,model_0_filter_007,model_0_filter_044,model_1_filter_126,model_6_filter_035,model_8_filter_070,model_5_filter_026,model_6_filter_073,model_3_filter_037,model_1_filter_089,model_2_filter_042,model_7_filter_055,model_5_filter_015,model_6_filter_009,model_2_filter_025,model_3_filter_079,model_6_filter_119,model_5_filter_045,model_4_filter_010,model_4_filter_127,model_8_filter_069,model_5_filter_110,model_5_filter_054,model_8_filter_006,model_4_filter_070,model_8_filter_039,model_7_filter_092,model_0_filter_123,model_7_filter_054,model_0_filter_006,model_9_filter_112,model_3_filter_033,model_8_filter_115,model_3_filter_094,model_5_filter_118,model_0_filter_033,model_1_filter_086,model_6_filter_012,model_2_filter_104,model_9_filter_111,model_6_filter_118,model_8_filter_016,model_0_filter_077,model_5_filter_021,model_7_filter_093,model_2_filter_109,model_9_filter_083,model_1_filter_036,model_1_filter_104,model_8_filter_021,model_1_filter_097,model_2_filter_006,model_5_filter_089,model_2_filter_100,model_5_filter_065,model_4_filter_079,model_0_filter_015,model_2_filter_076,model_3_filter_012,model_5_filter_010,model_0_filter_094,model_1_filter_004,model_2_filter_088,model_7_filter_051,model_5_filter_031,model_2_filter_049,model_8_filter_080,model_9_filter_016,model_0_filter_084,model_3_filter_051,model_8_filter_038,model_2_filter_062,model_8_filter_037,model_0_filter_099,model_2_filter_126,model_3_filter_092,model_6_filter_066,model_7_filter_106,model_8_filter_104,model_8_filter_073,model_5_filter_098,model_7_filter_021,model_7_filter_124,model_1_filter_010,model_5_filter_066,model_2_filter_108,model_5_filter_032,model_6_filter_053,model_6_filter_081,model_6_filter_018,model_0_filter_020,model_7_filter_095,model_0_filter_008,model_0_filter_050,model_3_filter_020,model_1_filter_099,model_4_filter_065,model_7_filter_003,model_9_filter_017,model_1_filter_106,model_8_filter_113,model_4_filter_071,model_7_filter_085,model_9_filter_032,model_4_filter_101,model_6_filter_070,model_3_filter_117,model_5_filter_097,model_8_filter_048,model_3_filter_061,model_7_filter_075,model_0_filter_112,model_5_filter_116,model_4_filter_062,model_9_filter_105,model_1_filter_105,model_3_filter_115,model_0_filter_010,model_0_filter_109,model_3_filter_015,model_6_filter_126,model_7_filter_083,model_2_filter_011,model_5_filter_040,model_7_filter_122,model_2_filter_084,model_6_filter_125,model_3_filter_075,model_3_filter_122,model_8_filter_062,model_7_filter_007,model_8_filter_100,model_7_filter_121,model_9_filter_036,model_3_filter_054,model_2_filter_068,model_7_filter_052,model_7_filter_000,model_2_filter_116,model_8_filter_036",169.0,10.0
aug_cluster_3,"motifs_aug_model_6_filter_080_n153,motifs_aug_model_4_filter_103_n113,motifs_aug_model_8_filter_053_n197,motifs_aug_model_2_filter_066_n54,motifs_aug_model_3_filter_022_n73,motifs_aug_model_5_filter_018_n119,motifs_aug_model_1_filter_051_n33,motifs_aug_model_5_filter_112_n141,motifs_aug_model_7_filter_034_n167,motifs_aug_model_7_filter_114_n183,motifs_aug_model_8_filter_117_n209,motifs_aug_model_0_filter_076_n16,motifs_aug_model_9_filter_074_n219,motifs_aug_model_1_filter_120_n44,motifs_aug_model_5_filter_023_n122,motifs_aug_model_0_filter_052_n13,motifs_aug_model_4_filter_089_n109,motifs_aug_model_0_filter_029_n8,motifs_aug_model_3_filter_080_n86,motifs_aug_model_9_filter_015_n212,motifs_aug_model_7_filter_024_n166,motifs_aug_model_0_filter_121_n25,motifs_aug_model_3_filter_027_n74","model_6_filter_080,model_4_filter_103,model_8_filter_053,model_2_filter_066,model_3_filter_022,model_5_filter_018,model_1_filter_051,model_5_filter_112,model_7_filter_034,model_7_filter_114,model_8_filter_117,model_0_filter_076,model_9_filter_074,model_1_filter_120,model_5_filter_023,model_0_filter_052,model_4_filter_089,model_0_filter_029,model_3_filter_080,model_9_filter_015,model_7_filter_024,model_0_filter_121,model_3_filter_027",23.0,10.0
aug_cluster_2,"motifs_aug_model_3_filter_093_n89,motifs_aug_model_1_filter_068_n35,motifs_aug_model_2_filter_112_n65,motifs_aug_model_9_filter_045_n217,motifs_aug_model_2_filter_054_n52,motifs_aug_model_3_filter_058_n80,motifs_aug_model_1_filter_058_n34,motifs_aug_model_2_filter_107_n62,motifs_aug_model_9_filter_007_n210,motifs_aug_model_2_filter_118_n68,motifs_aug_model_4_filter_093_n110,motifs_aug_model_0_filter_104_n22,motifs_aug_model_1_filter_007_n29,motifs_aug_model_9_filter_098_n222,motifs_aug_model_3_filter_071_n83,motifs_aug_model_5_filter_050_n129,motifs_aug_model_4_filter_052_n101,motifs_aug_model_6_filter_096_n156,motifs_aug_model_4_filter_046_n99,motifs_aug_model_7_filter_077_n173,motifs_aug_model_9_filter_117_n227,motifs_aug_model_7_filter_103_n181,motifs_aug_model_0_filter_127_n27,motifs_aug_model_5_filter_073_n134,motifs_aug_model_5_filter_099_n138,motifs_aug_model_4_filter_038_n97,motifs_aug_model_5_filter_052_n130,motifs_aug_model_6_filter_101_n157","model_3_filter_093,model_1_filter_068,model_2_filter_112,model_9_filter_045,model_2_filter_054,model_3_filter_058,model_1_filter_058,model_2_filter_107,model_9_filter_007,model_2_filter_118,model_4_filter_093,model_0_filter_104,model_1_filter_007,model_9_filter_098,model_3_filter_071,model_5_filter_050,model_4_filter_052,model_6_filter_096,model_4_filter_046,model_7_filter_077,model_9_filter_117,model_7_filter_103,model_0_filter_127,model_5_filter_073,model_5_filter_099,model_4_filter_038,model_5_filter_052,model_6_filter_101",28.0,9.0
nonaug_cluster_007,"motifs_nonaug_model_0_filter_091_n73,motifs_nonaug_model_2_filter_031_n239,motifs_nonaug_model_0_filter_046_n36,motifs_nonaug_model_7_filter_002_n733,motifs_nonaug_model_6_filter_082_n693,motifs_nonaug_model_5_filter_107_n605,motifs_nonaug_model_4_filter_102_n500,motifs_nonaug_model_9_filter_092_n1017,motifs_nonaug_model_1_filter_067_n162,motifs_nonaug_model_7_filter_119_n828,motifs_nonaug_model_2_filter_046_n253,motifs_nonaug_model_3_filter_110_n403,motifs_nonaug_model_4_filter_042_n454,motifs_nonaug_model_1_filter_053_n149,motifs_nonaug_model_8_filter_090_n906,motifs_nonaug_model_0_filter_074_n60,motifs_nonaug_model_5_filter_068_n573,motifs_nonaug_model_8_filter_025_n854,motifs_nonaug_model_6_filter_011_n632,motifs_nonaug_model_6_filter_111_n719,motifs_nonaug_model_3_filter_009_n324,motifs_nonaug_model_8_filter_072_n891","model_0_filter_091,model_2_filter_031,model_0_filter_046,model_7_filter_002,model_6_filter_082,model_5_filter_107,model_4_filter_102,model_9_filter_092,model_1_filter_067,model_7_filter_119,model_2_filter_046,model_3_filter_110,model_4_filter_042,model_1_filter_053,model_8_filter_090,model_0_filter_074,model_5_filter_068,model_8_filter_025,model_6_filter_011,model_6_filter_111,model_3_filter_009,model_8_filter_072",22.0,10.0
nonaug_cluster_011,"motifs_nonaug_model_3_filter_083_n381,motifs_nonaug_model_8_filter_086_n903,motifs_nonaug_model_3_filter_004_n319,motifs_nonaug_model_4_filter_094_n494,motifs_nonaug_model_4_filter_040_n453,motifs_nonaug_model_7_filter_110_n821,motifs_nonaug_model_1_filter_119_n205,motifs_nonaug_model_2_filter_041_n249,motifs_nonaug_model_2_filter_092_n290,motifs_nonaug_model_5_filter_084_n587,motifs_nonaug_model_7_filter_030_n757,motifs_nonaug_model_5_filter_008_n530,motifs_nonaug_model_5_filter_095_n597,motifs_nonaug_model_1_filter_079_n173,motifs_nonaug_model_3_filter_023_n334,motifs_nonaug_model_6_filter_067_n682,motifs_nonaug_model_1_filter_100_n189,motifs_nonaug_model_3_filter_097_n390,motifs_nonaug_model_6_filter_115_n723,motifs_nonaug_model_0_filter_075_n61,motifs_nonaug_model_1_filter_063_n158,motifs_nonaug_model_7_filter_090_n807,motifs_nonaug_model_3_filter_025_n336,motifs_nonaug_model_6_filter_103_n711","model_3_filter_083,model_8_filter_086,model_3_filter_004,model_4_filter_094,model_4_filter_040,model_7_filter_110,model_1_filter_119,model_2_filter_041,model_2_filter_092,model_5_filter_084,model_7_filter_030,model_5_filter_008,model_5_filter_095,model_1_filter_079,model_3_filter_023,model_6_filter_067,model_1_filter_100,model_3_filter_097,model_6_filter_115,model_0_filter_075,model_1_filter_063,model_7_filter_090,model_3_filter_025,model_6_filter_103",24.0,9.0
nonaug_cluster_044,"motifs_nonaug_model_1_filter_016_n115,motifs_nonaug_model_6_filter_097_n706,motifs_nonaug_model_2_filter_111_n303,motifs_nonaug_model_2_filter_127_n314,motifs_nonaug_model_1_filter_009_n109,motifs_nonaug_model_6_filter_005_n627,motifs_nonaug_model_3_filter_067_n369,motifs_nonaug_model_6_filter_079_n692,motifs_nonaug_model_8_filter_045_n870,motifs_nonaug_model_4_filter_002_n419,motifs_nonaug_model_3_filter_086_n384,motifs_nonaug_model_3_filter_105_n398,motifs_nonaug_model_0_filter_022_n16,motifs_nonaug_model_1_filter_112_n198,motifs_nonaug_model_1_filter_081_n175,motifs_nonaug_model_4_filter_068_n475,motifs_nonaug_model_3_filter_084_n382,motifs_nonaug_model_2_filter_040_n248,motifs_nonaug_model_9_filter_118_n1037","model_1_filter_016,model_6_filter_097,model_2_filter_111,model_2_filter_127,model_1_filter_009,model_6_filter_005,model_3_filter_067,model_6_filter_079,model_8_filter_045,model_4_filter_002,model_3_filter_086,model_3_filter_105,model_0_filter_022,model_1_filter_112,model_1_filter_081,model_4_filter_068,model_3_filter_084,model_2_filter_040,model_9_filter_118",19.0,8.0
nonaug_cluster_108,"motifs_nonaug_model_2_filter_013_n222,motifs_nonaug_model_8_filter_033_n862,motifs_nonaug_model_3_filter_104_n397,motifs_nonaug_model_9_filter_039_n969,motifs_nonaug_model_9_filter_068_n996,motifs_nonaug_model_5_filter_041_n553,motifs_nonaug_model_4_filter_064_n472,motifs_nonaug_model_5_filter_013_n534,motifs_nonaug_model_7_filter_047_n773","model_2_filter_013,model_8_filter_033,model_3_filter_104,model_9_filter_039,model_9_filter_068,model_5_filter_041,model_4_filter_064,model_5_filter_013,model_7_filter_047",9.0,7.0
nonaug_cluster_024,"motifs_nonaug_model_5_filter_057_n564,motifs_nonaug_model_6_filter_109_n717,motifs_nonaug_model_7_filter_037_n763,motifs_nonaug_model_9_filter_127_n1045,motifs_nonaug_model_4_filter_086_n489,motifs_nonaug_model_1_filter_057_n153,motifs_nonaug_model_7_filter_107_n818,motifs_nonaug_model_1_filter_060_n155,motifs_nonaug_model_6_filter_020_n638","model_5_filter_057,model_6_filter_109,model_7_filter_037,model_9_filter_127,model_4_filter_086,model_1_filter_057,model_7_filter_107,model_1_filter_060,model_6_filter_020",9.0,6.0
nonaug_cluster_012,"motifs_nonaug_model_3_filter_082_n380,motifs_nonaug_model_8_filter_119_n928,motifs_nonaug_model_1_filter_072_n166,motifs_nonaug_model_4_filter_000_n417,motifs_nonaug_model_9_filter_051_n979","model_3_filter_082,model_8_filter_119,model_1_filter_072,model_4_filter_000,model_9_filter_051",5.0,5.0
nonaug_cluster_018,"motifs_nonaug_model_3_filter_114_n407,motifs_nonaug_model_5_filter_070_n575,motifs_nonaug_model_9_filter_113_n1033,motifs_nonaug_model_1_filter_020_n119,motifs_nonaug_model_2_filter_048_n255","model_3_filter_114,model_5_filter_070,model_9_filter_113,model_1_filter_020,model_2_filter_048",5.0,5.0
